# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「川島さん。　自分は動けないので、\n自分を背負ってこの場から直ちに離れてくださいッス。」	“川岛先生。我现在动不了，\n请背上我，立刻离开这里。”
「は？　お前を担いで離れろだと？\nしかも、何で警察を避ける必要が……！」	“哈？你要我背着你离开？\n而且，为什么要躲着警察……！”
「いいからさっさとするッス！\n命の恩人の頼みが聞けないんスか！」	“别废话，快点！\n难道连救命恩人的请求都不听吗！”
「だー！　わかったよ！\nやりゃあいいんだろ！　やりゃあ！」	“啊——！知道了！\n做就是了吧！做就是了！”
<Off>笑顔2	<Off>笑脸2
「快適快適。　これは良い乗り物ッスねー。」	“真舒服真舒服。这交通工具不错嘛。”
「お前を担いでる俺はしんどいけどな。\nつーか、その馬鹿デカい剣なんだよ。\nそれのせいですげー重いんだが。」	“背着你的我可累得要命。\n话说，你这把大得离谱的剑是什么啊。\n全是它害得这么重。”
「これはオートマタ専用の\nエーテライト<ruby=くどうがたきんせつようこうしゅうは>駆動型近接用高周波</ruby>ブレードType-<ruby=アルファ>α</ruby>。\n通称ダブルセイバーッス。」	“这是自动人偶专用的\n以太石<ruby=くどうがたきんせつようこうしゅうは>驱动式近战高频</ruby>刀刃Type-<ruby=アルファ>α</ruby>。\n俗称双刃剑。”
「あの暴走オートマタを真っ二つにしたのがその剣ってわけか。」	“把那台暴走自动人偶劈成两半的，就是这把剑？”
<Off>真顔3	<Off>面无表情3
「そッス。　ただこの高周波ブレードは燃費が悪いのが難点で、\n先ほどの使用で自分のエネルギー残量がゼロになり、\n身動きが取れなくなってしまったんス。」	“没错。不过这把高频刀刃耗能很大，\n刚才使用之后我的能量余量归零，\n所以现在动不了了。”
「エネルギー残量って…、\nお前マジでアンドロイドなのか？」	“能量余量……\n你该不会真的是安卓机器人吧？”
「だからそう言ってるッス。\nあ、その道を右ッス。」	“我不是已经说过了吗。\n啊，前面那条路右转。”
「にわかには信じられないが、\nさっきのオートマタ両断の大道芸を見せられたら、\nまるっきり嘘とも言えない……か。」	“虽然一时很难相信，\n但看过你刚才把自动人偶一刀两断的绝技，\n也不能说全是谎话……吧。”
<Off>煽り2	<Off>嘲讽2
「へー。　川島さん随分物分かりが良くなったんスねー。\n人って成長するものなんスね。\n偉い偉い。」	“哦——川岛先生变得很通情达理嘛。\n人果然会成长啊。\n真乖真乖。”
（なでなで。）	（摸摸。）
「……もしかして今馬鹿にされてんのか？」	“……我是不是被你嘲笑了？”
「つーか、お前俺のこと知ってるみたいだけど、\nどういう関係なんだ？」	“话说，你好像认识我，\n我们到底是什么关系？”
「お前じゃなくてノヴァ、ッス。」	“别叫‘你’，叫诺瓦。”
「…えーと、ノヴァ。」	“……呃，诺瓦。”
<Off>笑み3	<Off>笑容3
「ほい。」	“这就对了。”
「俺とノヴァはどういうご関係で？」	“那我和诺瓦是什么关系？”
「あ、その突きあたりを右折で。」	“啊，到尽头右转。”
「聞けよ。」	“你倒是听我问话啊。”
「……聖皇学園に戻って来ちまった。」	“……结果又回到圣皇学园了。”
「それじゃ、\nそのまま２階までゴー。」	“那就\n直接上二楼。”
「ここって科学室…か？\n入ったことねーけど。」	“这里是科学教室……吗？\n我以前没来过。”
「それは運が良いッスね。\nささ、入った入った。」	“那你运气不错。\n来，快进去快进去。”
「お前ん家かここは。」	“这里是你家吗？”
眼鏡の男	戴眼镜的男人
<Character=影山>	<Character=影山>
「戻ったか。　１３号。」	“回来了吗，13号。”
「ただいま帰還したッス。　ドクター。\nちゃんとお荷物をお届けしたッス。」	“报告，顺利归队，博士。\n也把货物完好无损地送到了。”
「ご苦労。\n確かに川島ユートで間違いない。」	“辛苦了。\n确实是川岛悠斗，没错。”
「……もしかして荷物って俺のことか？\nどちらかというと\n俺が担いでいるノヴァが荷物の状態なんだが。」	“……你说的货物该不会是我吧？\n真要说的话，\n我背着的诺瓦才更像货物。”
「川島さん。\nおんぶはもういいので、降ろしていいッスよ。\nあ、降ろすときはゆっくりッスよ。　ゆっくり。」	“川岛先生。\n不用再背了，可以放我下来。\n啊，放下时要慢一点。慢一点。”
（ぺちぺち）	（拍拍。）
「へいへい。」	“好好好。”
「おー。　地に足がついた気分ッス。」	“哦——有种脚踏实地的感觉。”
「実際ついてるけどな。」	“你的脚本来就踩在地上。”
「私は<ruby=かげやま>影山</ruby>。\nこの聖皇学園の科学教員だ。」	“我是<ruby=かげやま>影山</ruby>，\n圣皇学园的科学教师。”
「科学教師が俺に何の用だ？\nっていうか、このノヴァとかいう\nオートマタはお前の発明品か？」	“科学老师找我有什么事？\n话说，这个叫诺瓦的\n自动人偶是你的发明吗？”
「時間が無い。　質問は後にしたまえ。」	“时间紧迫。问题之后再问。”
「君にはやってもらいたい使命がある。\nそしてその使命は君自身から託されたものだ。」	“我有一项使命要交给你。\n而这项使命，是你自己托付给我的。”
「は…？　俺が俺に何か頼んだって事か？」	“哈……？也就是说，是我拜托我自己做什么？”
「君は先日の大怪我の影響で記憶が一部失われている。\nそうだったな？」	“你因为前几天的重伤，失去了一部分记忆。\n没错吧？”
「ああ…。確かに記憶は曖昧だ。\n俺が学園のアイドルを口説いてたらしいが\nまったく身に覚えがないくらいにな。」	“嗯……记忆确实很模糊。\n听说我曾经搭讪学校的偶像，\n可我完全一点印象都没有。”
「自分も川島さんに口説かれたッス。」	“我也被川岛先生搭讪过。”
「さて、見知らぬ私から説明を受けたところで\n君は信じないだろう。\nそこで、君宛ての君自身が書いた手紙を預かっている。」	“好了，就算由一个陌生人来解释，\n你也不会相信吧。\n所以，我替你保管了一封你自己写给你的信。”
「俺が書いた手紙…だと？」	“我写的信……？”
「読んでみたまえ。\nそうすれば私の話を信じる気になるはずだ。」	“读读看吧。\n这样你应该就会相信我说的话了。”
「ああ。　勿論、私は中身を見ていない。\n安心したまえ。」	“当然，我没有看过内容。\n尽管放心。”
「えーと…なになに…？」	“呃……让我看看……”
（『川島ユート。\nこの手紙を読んでいるということは、\n今のお前は過去の記憶を失っていることだろう。』）	（『川岛悠斗。\n如果你正在读这封信，\n说明现在的你已经失去了过去的记忆。』）
「俺の字だ……。\nだが、本当に俺が書いたものか？\n筆跡なんてどうにでも細工出来るだろうし…。」	“这是我的字……\n但真的是我写的吗？\n笔迹这种东西，想伪造也不是难事……”
（『お前がこの手紙を疑う気持ちはわかっている。\nなにせ俺だからな。』）	（『我知道你会怀疑这封信。\n毕竟你就是我。』）
（『ならば、俺が俺であることを証明してみせよう。\nお前の内なる秘密を暴き出してな。』）	（『那么，我就揭开你内心的秘密，\n证明我就是你。』）
「なに…？　俺の秘密……だと？\n一体何をする気だ？」	“什么……？我的秘密……？\n你究竟想做什么？”
「川島さんが何やら手紙と会話をしてるんスが。」	“川岛先生好像在和信说话。”
「随分と感情移入しやすい性格のようだな。\nいや、思い込みが激しいと言えるか。\n実に興味深い光景だ。」	“看来他很容易投入感情。\n不，应该说是容易沉浸在自己的想象里。\n真是有趣的景象。”
（『川島ユート。　お前がひた隠しにしている\n願望を言い当ててみせよう。』）	（『川岛悠斗。我要说出\n你一直深藏不露的愿望。』）
「でたらめを言うな…！\n俺にそんな願望なんて無い…！\n俺には…！」	“别胡说……！\n我才没有那种愿望……！\n我……”
（『今、その願望を思い浮かべたな？\n”ユリ姉のセーラー服姿が見たい”という願望を。』）	（『你刚才已经想起那个愿望了吧？\n那个“想看百合姐穿水手服”的愿望。』）
「―――――――ッ！！」	“——————！！”
「おい……冗談だろ……？\nそんな……馬鹿な……。」	“喂……开玩笑的吧……？\n怎么会……不可能……”
<Off>困惑	<Off>困惑
「この手紙を書いたのは……俺だ……。\n間違いねぇ……。」	“写这封信的人……就是我……\n不会错……”
「なんかショックのあまり、\n膝から崩れ落ちたようッスけど。\n余程、衝撃的な事が書かれていたようッスね。」	“他好像受打击过度，\n双膝一软跪下去了。\n信里一定写了非常震撼的内容。”
「経緯は不明だが、\nこれで信じて貰えたようだな。」	“虽然过程不明，\n但看来你已经相信我了。”
（『理解したか？　お前は俺、俺はお前だ。』）	（『明白了吗？你就是我，我就是你。』）
（『俺はこの後、\n奴に敗北し記憶を失ってしまうことだろう。\nだから、俺であるお前にすべてを託したい。』）	（『接下来，我会败给那家伙，\n并因此失去记忆。\n所以，我想把一切托付给身为我的你。』）
（『頼む川島ユート。\n俺の仲間を解放し、<ruby=むげんつくよみ>夢幻月詠</ruby>を打ち破ってくれ。』）	（『拜托了，川岛悠斗。\n解放我的同伴，打倒<ruby=むげんつくよみ>梦幻月咏</ruby>。』）
